latitude,longitude,temp_media_2001_2025_c,dias_min_bajo_0c_anuales,dias_congelamiento_deshielo_anuales,precipitacion_anual_media_mm,precipitacion_diaria_p95_mm,viento_medio_ms,viento_p95_ms,fraccion_horas_nieve_gt0pct,fraccion_horas_nieve_ge10pct,fraccion_horas_nieve_ge50pct,nieve_profundidad_p95_m,cobertura_nieve_media_pct
-29.399999999999313,-68.70000000000226,15.329453,53.68,53.0,460.22046,7.134811639785767,1.7298003,3.3197892308235155,0.32101266746979157,0.048018654400759316,0.011097725696345782,0.0087890625,2.0434122
-29.399999999999313,-68.60000000000224,15.135477,50.6,50.0,409.65433,6.338921070098877,1.6040602,3.0726218581199642,0.3064925345891286,0.04339612309714161,0.010162267732632424,0.0078125,1.8449695
-29.399999999999313,-68.50000000000222,13.937188,54.84,54.04,358.2152,5.718459367752075,1.6216798,3.0910950899124146,0.28774686963822876,0.03879184463184025,0.011581425911729275,0.005859375,1.7880429
-29.499999999999314,-69.10000000000235,5.9045787,162.56,151.32,411.28348,6.360925674438477,1.4439704,2.635437130928039,0.6203957215346987,0.09171594933012084,0.03192877742488957,0.0263671875,4.6094494
-29.499999999999314,-69.00000000000233,2.8781624,235.0,210.56,456.84985,6.61048436164856,1.4131534,2.620314419269561,0.5693744752308985,0.09591410214288322,0.03168236410761874,0.0283203125,4.7203345
-29.499999999999314,-68.90000000000231,5.3107533,183.44,174.12,504.94055,7.341035842895508,1.4281288,2.8284432053565975,0.48888858467491697,0.07920819187383638,0.01990472018398861,0.0205078125,3.473307
-29.499999999999314,-68.80000000000229,10.411018,101.0,98.8,557.49756,8.403696060180664,1.6185714,3.1771759867668146,0.4475230898404702,0.05657010915197313,0.013233307779359691,0.01171875,2.4262295
-29.499999999999314,-68.70000000000226,14.051697,54.04,53.32,534.98553,8.218944072723389,1.6323788,3.18039219379425,0.3759080787062388,0.048630124484357315,0.009404774942503559,0.009765625,1.9691861
-29.499999999999314,-68.60000000000224,15.579854,38.0,37.56,448.65616,6.821991205215454,1.5464922,3.0058055996894835,0.25503778337531485,0.040872668199905086,0.007351330631913263,0.0068359375,1.5998338
-29.499999999999314,-68.50000000000222,16.268581,28.0,27.76,337.3638,5.171739101409912,1.566758,3.1107376575469963,0.23806264374110175,0.02999853977293469,0.005913919614500055,0.00390625,1.2511476
-29.599999999999316,-69.10000000000235,6.307449,145.28,135.2,524.3092,7.9067113399505615,1.4010172,2.5544772148132324,0.6420892198736904,0.0968860657832293,0.030778848610959003,0.02734375,4.6450768
-29.599999999999316,-69.00000000000233,3.3386958,225.28,204.64,577.7588,8.347666263580322,1.3764968,2.545286154747009,0.5229529441828205,0.10252162961340489,0.030473113569160003,0.0283203125,4.6744485
-29.599999999999316,-68.90000000000231,5.3365664,174.76,164.92,620.63293,8.693979263305664,1.4024919,2.7651564240455624,0.5135801117073705,0.08024404044828971,0.01889625086700982,0.0185546875,3.3921137
-29.599999999999316,-68.80000000000229,9.77946,95.16,92.68,667.3237,9.915786266326904,1.6096048,3.1515264630317685,0.4738756251597123,0.05944493118679955,0.012849998174716168,0.0126953125,2.4568446
-29.599999999999316,-68.70000000000226,13.135616,49.92,49.0,626.53,9.623891353607178,1.6693728,3.2133356451988218,0.27731993575000913,0.051272222830650166,0.008797868068484649,0.0107421875,1.9685587
-29.599999999999316,-68.60000000000224,15.39758,29.44,29.08,469.1797,7.157059192657471,1.6015595,3.0653513550758356,0.25778939875150586,0.03627295294418282,0.004773117219727668,0.005859375,1.3223903
-29.599999999999316,-68.50000000000222,17.23516,17.0,16.92,309.49506,4.737273931503296,1.679058,3.281615221500396,0.2382588617530026,0.02173456722520352,0.003139488190413609,0.0029296875,0.8542264
