km_inicio,km_fin,elev_min_m,elev_mean_m,elev_max_m,desnivel_local_m
29,30,1517.7496337890625,1532.7813720703125,1550.5269775390625,32.77734375
30,31,1543.106201171875,1559.4520263671875,1575.13427734375,32.028076171875
31,32,1571.75830078125,1587.9876708984375,1603.8258056640625,32.0675048828125
32,33,1602.9654541015625,1615.0946044921875,1628.802978515625,25.8375244140625
33,34,1627.974609375,1638.8173828125,1648.5849609375,20.6103515625
34,35,1645.989990234375,1655.1976318359375,1668.568115234375,22.578125
35,36,1666.4266357421875,1678.2783203125,1690.898193359375,24.4715576171875
36,37,1689.625244140625,1703.0283203125,1717.081787109375,27.45654296875
37,38,1715.9964599609375,1731.7530517578125,1747.0394287109375,31.04296875
38,39,1745.889892578125,1760.3255615234375,1775.7984619140625,29.9085693359375
39,40,1774.6739501953125,1790.1036376953125,1803.6304931640625,28.95654296875
40,41,1796.322509765625,1804.638671875,1812.3076171875,15.985107421875
41,42,1807.9600830078125,1825.30859375,1846.173095703125,38.2130126953125
42,43,1842.09228515625,1858.99267578125,1875.631591796875,33.539306640625
43,44,1872.621826171875,1890.24169921875,1909.3731689453125,36.7513427734375
44,45,1845.6376953125,1863.3768310546875,1892.3096923828125,46.6719970703125
45,46,1828.6009521484375,1839.641845703125,1847.9300537109375,19.3291015625
46,47,1813.4700927734375,1824.537353515625,1836.527587890625,23.0574951171875
47,48,1814.4390869140625,1830.7882080078125,1847.113037109375,32.6739501953125
48,49,1845.8966064453125,1859.5194091796875,1871.8985595703125,26.001953125
49,50,1871.6636962890625,1883.21435546875,1897.3155517578125,25.65185546875
50,51,1895.5078125,1909.8453369140625,1924.0189208984375,28.5111083984375
51,52,1923.29736328125,1937.65625,1956.7115478515625,33.4141845703125
52,53,1954.9400634765625,1967.05712890625,1983.987060546875,29.0469970703125
53,54,1979.05908203125,1994.726806640625,2011.947021484375,32.887939453125
54,55,2010.041015625,2029.72216796875,2053.175048828125,43.134033203125
55,56,2038.60400390625,2052.317138671875,2067.775634765625,29.171630859375
56,57,2064.486572265625,2079.740478515625,2094.062255859375,29.57568359375
57,58,2092.259521484375,2106.695068359375,2118.608154296875,26.3486328125
58,59,2117.0810546875,2132.85009765625,2148.897216796875,31.816162109375
59,60,2145.177490234375,2160.352294921875,2178.25048828125,33.072998046875
60,61,2173.285400390625,2188.131103515625,2209.953125,36.667724609375
61,62,2200.419921875,2214.23974609375,2227.471435546875,27.051513671875
62,63,2225.938720703125,2239.794921875,2253.04443359375,27.105712890625
63,64,2252.3271484375,2267.62109375,2286.993408203125,34.666259765625
64,65,2283.25146484375,2298.0341796875,2312.433349609375,29.181884765625
65,66,2312.021728515625,2329.005615234375,2348.36474609375,36.343017578125
66,67,2345.87939453125,2365.285400390625,2380.5556640625,34.67626953125
67,68,2379.73974609375,2397.152587890625,2415.8271484375,36.08740234375
68,69,2414.548828125,2432.06201171875,2450.2099609375,35.6611328125
69,70,2449.27685546875,2469.65625,2487.251708984375,37.974853515625
70,71,2485.159912109375,2503.0712890625,2520.4033203125,35.243408203125
71,72,2517.97900390625,2538.05859375,2562.774169921875,44.795166015625
72,73,2550.857177734375,2566.481201171875,2584.27294921875,33.415771484375
73,74,2581.98291015625,2602.669921875,2620.549072265625,38.566162109375
74,75,2618.09912109375,2632.9892578125,2647.29833984375,29.19921875
75,76,2645.20703125,2662.554443359375,2681.496337890625,36.289306640625
76,77,2679.65966796875,2696.448974609375,2714.326171875,34.66650390625
77,78,2712.765625,2729.13134765625,2745.148193359375,32.382568359375
78,79,2743.83349609375,2758.8408203125,2774.10498046875,30.271484375
79,80,2772.3349609375,2790.416015625,2803.60546875,31.2705078125
80,81,2802.367919921875,2819.4912109375,2837.919921875,35.552001953125
81,82,2835.614013671875,2851.913330078125,2868.401611328125,32.78759765625
82,83,2866.99755859375,2884.40673828125,2902.6318359375,35.63427734375
83,84,2901.127685546875,2916.364013671875,2932.071044921875,30.943359375
84,85,2931.587646484375,2948.42578125,2963.193115234375,31.60546875
85,86,2962.095947265625,2979.02685546875,2992.43408203125,30.338134765625
86,87,2991.652099609375,3009.8779296875,3030.0576171875,38.405517578125
87,88,3022.49267578125,3036.990234375,3052.213623046875,29.720947265625
88,89,3051.072265625,3065.779296875,3081.636474609375,30.564208984375
89,90,3079.577392578125,3098.26708984375,3114.06201171875,34.484619140625
90,91,3113.1572265625,3129.07861328125,3151.6796875,38.5224609375
91,92,3150.315673828125,3171.905029296875,3192.696533203125,42.380859375
92,93,3190.890380859375,3210.427734375,3230.3369140625,39.446533203125
93,94,3228.6494140625,3248.60595703125,3266.792236328125,38.142822265625
94,95,3264.923583984375,3285.27099609375,3304.054443359375,39.130859375
95,96,3303.374267578125,3322.9580078125,3340.506591796875,37.13232421875
96,97,3339.054443359375,3357.844970703125,3375.026123046875,35.9716796875
97,98,3372.691650390625,3390.902587890625,3408.253662109375,35.56201171875
