km_inicio,km_fin,s_inicio_km,s_fin_km,longitud_traza_km,factor_local,metodo_calibracion,elev_min_m,elev_mean_m,elev_max_m,desnivel_local_m,elev_inicio_m,elev_fin_m,desnivel_neto_m,pendiente_neta_pct,pendiente_media_abs_pct,pendiente_max_abs_pct,n_muestras,buffer_m,pendiente_terreno_media_pct,pendiente_terreno_p90_pct,relieve_local_m,n_celdas_pendiente,n_celdas_elevacion,buffer_hidrologia_m,drenaje_secundario_50m,drenaje_principal_50m,n_drenajes_secundarios_50m,n_drenajes_principales_50m,acumulacion_max_50m_celdas,area_aportante_max_50m_km2,latitud_centro,longitud_centro,temp_media_2001_2025_c,dias_min_bajo_0c_anuales,dias_congelamiento_deshielo_anuales,precipitacion_anual_media_mm,precipitacion_diaria_p95_mm,viento_medio_ms,viento_p95_ms,fraccion_horas_nieve_gt0pct,fraccion_horas_nieve_ge10pct,fraccion_horas_nieve_ge50pct,nieve_profundidad_p95_m,cobertura_nieve_media_pct,metodo_clima
10,11,9.121402,10.033542,0.91214,0.91214,solo_puntos_confianza_alta,1258.4722900390625,1263.2127685546875,1271.4935302734375,13.021240234375,1269.63525390625,1267.758544921875,-1.876708984375,-0.2052691595908009,2.2356906467013884,5.788167317708334,32,250.0,5.022562980651856,7.889823436737059,35.669921875,783,783,50.0,1,0,1,0,9631.0,7.600048313764242,-29.42625030704304,-68.60122793403598,15.248958161805028,47.3720564851875,46.81242995632217,420.62862680718985,6.477438917878022,1.5903639663642666,3.0578834831084207,0.2935066074029276,0.0428005750796277,0.0094394785971437,0.0075744365224444,1.78360827547142,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
11,12,10.033542,10.945682,0.909223,0.909223,solo_puntos_confianza_alta,1266.7923583984375,1278.310546875,1289.5462646484375,22.75390625,1267.758544921875,1289.5462646484375,21.7877197265625,2.39388495660922,2.4979790581597228,5.275065104166667,32,250.0,4.318431854248047,6.539425849914551,36.7000732421875,782,782,50.0,0,0,0,0,268.0,0.2114850948072699,-29.418276697775266,-68.60289530317985,15.213197695503588,48.45489130726754,47.88075944954403,418.4358662040258,6.453434399880123,1.5969683366384986,3.067182224631286,0.2980714757872303,0.0430853441189947,0.0096815215997351,0.0076726263381308,1.8068167019406016,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
12,13,10.945682,11.857823,0.912056,0.912056,solo_puntos_confianza_alta,1287.9853515625,1301.373046875,1315.7645263671875,27.7791748046875,1289.5462646484375,1315.6683349609375,26.1220703125,2.865855437389114,2.974650065104167,6.252441406250001,32,250.0,4.46734619140625,7.235974311828613,41.2850341796875,775,775,50.0,0,0,0,0,18.0,0.0142042227855629,-29.412425759752995,-68.60938402263508,15.188816277562204,49.47450044767132,48.88454237295575,419.66275307073386,6.4806413591439975,1.6082417118674224,3.0866673544808663,0.3027015446719351,0.0435528983950825,0.009913807153188,0.0078055696786556,1.835124302376056,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
13,14,11.857823,12.769963,0.910502,0.910502,solo_puntos_confianza_alta,1314.26953125,1324.01953125,1331.9437255859375,17.6741943359375,1315.6683349609375,1331.874267578125,16.2059326171875,1.7796211029699809,2.0029839409722223,4.403076171875,32,250.0,3.3204009532928467,5.292295932769775,35.866943359375,778,778,50.0,0,0,0,0,49.0,0.0386670509162545,-29.407303357718863,-68.61667212044904,15.179302239313234,50.35108238469634,49.74699481149885,421.3686812673987,6.514211926879149,1.6203340779316997,3.108066308422342,0.3064503698227018,0.0440206717633571,0.0101265484960705,0.0079277735538923,1.8622320062185067,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
14,15,12.769963,13.682103,0.912001,0.912001,solo_puntos_confianza_alta,1331.1434326171875,1344.7247314453125,1358.7548828125,27.6114501953125,1331.874267578125,1358.66162109375,26.787353515625,2.9343298961435598,2.970974392361111,7.949625651041667,32,250.0,3.63385272026062,5.873265743255615,35.6475830078125,776,776,50.0,0,0,0,0,49.0,0.0386670509162545,-29.40045251273184,-68.6218782448243,15.178221463264393,51.2296639751352,50.61268739596265,420.9292062319935,6.515828974074338,1.6312699686879506,3.1263235326546783,0.3095417341298783,0.0443991364915362,0.0103553164949501,0.0080236692946921,1.8874452131377064,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
15,16,13.682103,14.594243,0.89963,0.89963,solo_puntos_confianza_alta,1347.2257080078125,1357.77685546875,1363.7598876953125,16.5341796875,1358.66162109375,1349.0980224609375,-9.5635986328125,-1.0611483202343353,3.239054361979167,14.044596354166666,32,250.0,4.597733497619629,7.185230731964111,29.0347900390625,771,771,50.0,0,0,0,0,214.0,0.1688724264505812,-29.39302873862987,-68.62562309285393,15.129237770780556,52.17727604629362,51.54562355382115,423.19448220750365,6.545054194950741,1.6349243398767066,3.133809388832769,0.3121441941361064,0.0447985775765599,0.0105869948286315,0.0081308042404407,1.9138521287204584,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
16,17,14.594243,15.506383,0.906811,0.906811,solo_puntos_confianza_alta,1348.0760498046875,1357.7603759765625,1368.3740234375,20.2979736328125,1349.0980224609375,1363.4866943359375,14.388671875,1.5851846104470972,2.830702039930556,17.923990885416664,32,250.0,6.956116199493408,17.367488861083984,52.68798828125,776,776,50.0,0,0,0,0,1553.0,1.2255087769988442,-29.385177840636462,-68.62405365088172,15.06263248910313,53.01841693377423,52.3754585580901,423.10600314292094,6.5357968494275,1.631472733914707,3.1275925436730723,0.3140913155564323,0.0449786280539367,0.0107863845709869,0.0081921465843977,1.9315913378529104,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
17,18,15.506383,16.418523,0.91214,0.91214,solo_puntos_confianza_alta,1345.2061767578125,1352.7362060546875,1363.4866943359375,18.280517578125,1363.4866943359375,1345.7056884765625,-17.781005859375,-1.9512299804257864,2.331882052951388,5.03662109375,32,250.0,5.011990070343018,6.740481376647949,42.602783203125,777,777,50.0,0,0,0,0,336.0,0.2651454919971743,-29.38036161120893,-68.61673564816404,15.006145310375448,53.350192814153885,52.70538287355983,420.1205323522353,6.483981336311288,1.6216414629617548,3.1085258634756245,0.3143640789596946,0.0448369468948195,0.010882761360916,0.0081677152046111,1.9330569641431443,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
18,19,16.418523,17.330664,0.91214,0.91214,solo_puntos_confianza_alta,1341.222412109375,1348.4600830078125,1355.392578125,14.170166015625,1345.7056884765625,1351.897216796875,6.1915283203125,0.6794169982747309,2.4548746744791665,6.296793619791667,32,250.0,5.647038459777832,12.195035934448242,42.2034912109375,780,780,50.0,0,0,0,0,657.0,0.5184541316730461,-29.37590133250244,-68.60884607009575,14.949515161260598,53.63071846036612,52.9850837362963,416.9780404023813,6.430050548088894,1.611319472888803,3.0884166939870936,0.3144558536731907,0.0446815682637815,0.0109835427631865,0.0081342259530311,1.934297904094604,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
19,20,17.330664,18.242804,0.908373,0.908373,solo_puntos_confianza_alta,1351.6728515625,1357.9351806640625,1366.74462890625,15.07177734375,1351.897216796875,1366.6826171875,14.785400390625,1.6271580024499184,1.949951171875,5.498860677083333,32,250.0,2.9934234619140625,4.50070333480835,25.53369140625,773,773,50.0,0,0,0,0,203.0,0.1601920680816261,-29.371447574471883,-68.6009680261326,14.89127638676452,53.91673290807974,53.27027460633156,413.9848921944021,6.378476548741084,1.6011546644762322,3.0685702125905263,0.3145480389840466,0.0445477589024353,0.011101353065707,0.0081007856607206,1.937174607146883,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
